24horas.es -> 24Horas.es | IPTV-EPG España | exact/alias
mdeportes3.es -> USOP2 | IPTV-org Movistar+ | exact/alias
mdeportes4.es -> USOP3 | IPTV-org Movistar+ | exact/alias
mdeportes5.es -> USOP11 | IPTV-org Movistar+ | exact/alias
mdramaes.es -> CPCOLE | IPTV-org Movistar+ | exact/alias
mega.es -> Mega.es | EPGShare ES1 | exact/alias
mezzo.es -> Mezzo.es | IPTV-EPG España | exact/alias
mezzolive.es -> Mezzo.Live.es | EPGShare ES1 | exact/alias
mlaliga2.es -> MLIG1 | IPTV-org Movistar+ | exact/alias
mlaliga3.es -> MLIG2 | IPTV-org Movistar+ | exact/alias
mligadecampeones.es -> CHAPIO | IPTV-org Movistar+ | exact/alias
motoadv.es -> Moto.ADV.es | EPGShare ES1 | exact/alias
movistarclásicoses.es -> MCLAS | IPTV-org Movistar+ | exact/alias
movistardeporteses.es -> CPDEP | IPTV-org Movistar+ | exact/alias
movistardocumentaleses.es -> MDOC | IPTV-org Movistar+ | exact/alias
movistarestrenos.es -> MovistarEstrenos.es | IPTV-EPG España | exact/alias
movistargolf.es -> Movistar.Golf.es | EPGShare ES1 | exact/alias
movistargolf2.es -> Movistar.Golf.2.es | EPGShare ES1 | exact/alias
movistarhitses.es -> MHITS | IPTV-org Movistar+ | exact/alias
movistarindiees.es -> MINDI | IPTV-org Movistar+ | exact/alias
movistarlaliga.es -> MLIGA | IPTV-org Movistar+ | exact/alias
movistarlaliga2.es -> MLIG1 | IPTV-org Movistar+ | exact/alias
movistarlaliga3.es -> MLIG2 | IPTV-org Movistar+ | exact/alias
movistarlaliga4.es -> MLIG3 | IPTV-org Movistar+ | exact/alias
movistarlaliga5.es -> 1059 | IPTV-org Orange TV | exact/alias
movistarligadecampeones4.es -> Movistar.Liga.de.Campeones.4.es | EPGShare ES1 | exact/alias
movistaroriginaleses.es -> MORIG | IPTV-org Movistar+ | exact/alias
movistarplus.es -> Movistar.Plus+.es | EPGShare ES1 | exact/alias
movistarpluses.es.plus2 -> MovistarPlus+2.es | IPTV-EPG España | exact/alias
movistarvamos2es.es -> VAM2SD | IPTV-org Movistar+ | exact/alias
mplusacción.es -> CPACCI | IPTV-org Movistar+ | exact/alias
mplusclásicoses.es -> MCLAS | IPTV-org Movistar+ | exact/alias
mpluscomediaes.es -> CPCOME | IPTV-org Movistar+ | exact/alias
mplusdeporteses.es -> CPDEP | IPTV-org Movistar+ | exact/alias
mplusestrenos.es -> MV1 | IPTV-org Movistar+ | exact/alias
mplusgolf2.es -> GOLF2 | IPTV-org Movistar+ | exact/alias
mplusgolfes.es -> GOLF+ | IPTV-org Movistar+ | exact/alias
mplusligadecampeones2.es -> CHAP1 | IPTV-org Movistar+ | exact/alias
mplusligadecampeones4es.es -> CHAP3 | IPTV-org Movistar+ | exact/alias
mtv.es -> MTV.es | IPTV-EPG España | exact/alias
MTV00s.es -> MTV.00s.es | EPGShare ES1 | exact/alias
mtvespaña.es -> MTV.España.es | EPGShare ES1 | exact/alias
natgeowildes.es -> NatGeoWild.es | IPTV-EPG España | exact/alias
nationalgeographic.es -> National.Geographic.es | EPGShare ES1 | exact/alias
navarratves.es -> Navarra.Televisión.es | EPGShare ES1 | exact/alias
negociostv.es -> Negocios.TV.es | EPGShare ES1 | exact/alias
neox.es -> Neox.es | EPGShare ES1 | exact/alias
nickelodeon.es -> Nickelodeon.es | EPGShare ES1 | exact/alias
nickjr.es -> NICKJR.es | IPTV-EPG España | exact/alias
nova.es -> Nova.es | EPGShare ES1 | exact/alias
Odisea.es -> Odisea.es | EPGShare ES1 | exact/alias
pocoyóes.es -> 11176 | IPTV-org Orange TV | exact/alias
realmadridtv.es -> Real.Madrid.TV.es | EPGShare ES1 | exact/alias
sinfiltroses.es -> Sin.Filtros.es | EPGShare ES1 | exact/alias
skyshowtime1.es -> SkyShowtime.1.es | EPGShare ES1 | exact/alias
somos.es -> Somos.es | EPGShare ES1 | exact/alias
squirreles.es -> 11280 | IPTV-org Orange TV | exact/alias
starchannel.es -> StarChannel.es | IPTV-EPG España | exact/alias
sundance.es -> Sundance.es | IPTV-EPG España | exact/alias
